entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,6265.0,,480.0,,
Car 110,resource_use_end,pumping_ends,6266.0,1.0,,20.0,50.0
Car 110,arrival_departure,depart,6266.0,,,,
StationTank,fuel_level_change,fuel_level_change,6266.0,,480.0,,
Car 112,resource_use,payment_begins,6266.0,1.0,,7.0,50.0
StationTank,fuel_level_change,fuel_level_change,6267.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6268.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6269.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6270.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6271.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6272.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6273.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6274.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6275.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6276.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6277.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6278.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6279.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6280.0,,437.0,,
Car 123,arrival_departure,arrival,6281.0,,,,
Car 123,queue,pump_queue_wait_begins,6281.0,,,5.0,50.0
StationTank,fuel_level_change,fuel_level_change,6281.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6282.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6283.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6284.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6285.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6286.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6287.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6288.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6289.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6290.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6291.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6292.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6293.0,,437.0,,
StationTank,fuel_level_change,fuel_level_change,6294.0,,437.0,,
